"location","lat","lon"
"Au","-25.274398","133.775136"
"Au","-25.274398","133.775136"
"Assist","37.1378035","-93.2944649"
"AOPs","33.0214407","-117.0943636"
"April/May","32.7381574","-117.1219135"
"Ayala","33.9945749","-117.7319638"
"AUW","50.300226","6.3379512"
"Au","-25.274398","133.775136"
"Au","-25.274398","133.775136"
"B and C","39.237948","-121.037733"
"Au","-25.274398","133.775136"
"Area of","33.5878686","-101.879316"
"Au","-25.274398","133.775136"
"Area C","45.4881833","-123.2317674"
"Are","40.6846968","-81.7109267"
"At the Center","34.09939","-118.33446"
"Area C and","45.4881833","-123.2317674"
"Area","36.4835202","-93.9231062"
"B and C","39.237948","-121.037733"
"ATCT","19.7340003","-156.0415365"
"B&A","37.2809455","49.5924134"
"Area","36.4835202","-93.9231062"
"Area of the ECOWAS","28.481889","77.097935"
"Area C","45.4881833","-123.2317674"
"Area C","45.4881833","-123.2317674"
"Area of Intervention","42.2530797","-71.8452177"
"Assembly","42.3945941","-71.0800248"
"Av","40.996451","15.1258955"
"Ausblick","43.1346697","-88.2645831"
"Au","-25.274398","133.775136"
"B.3.4.1","35.4643558","-97.7247449"
"australisch Regierung","-25.274398","133.775136"
"Asian City","30.008942","-95.267179"
"BAPPEDA","-7.9655076","110.6013811"
"B.2","47.3957098","-94.7798301"
"B.3","40.8197191","-74.1187521"
"B.3","40.8197191","-74.1187521"
"Arabic","37.7233281","-97.2759151"
"AS","-14.270972","-170.132217"
"B-311","36.3746893","-79.939969"
"BAM","40.6864885","-73.9776488"
"be­","37.743195","-97.23732"
"beach","42.4386349","-83.857633"
"be­","37.743195","-97.23732"
"beh town","22.2641509","69.4605773"
"Basic Co","38.0636876","-78.8733521"
"bel-","37.7784831","-97.248823"
"bayport","40.7384317","-73.0506656"
"Basler","30.591793","-97.410807"
"Baumarten/ha","48.4951981","12.991355"
"Before","36.0475418","103.8407454"
"Beerling","52.1627859","-106.5950919"
"Batista","36.8775019","-96.1190297"
"Belen","34.6627652","-106.7761546"
"Baskets","37.1424856","-93.3514053"
"Beef","44.0324787","-70.9731602"
"Baskets","37.1424856","-93.3514053"
"Baseline Study","34.1208022","-117.3736284"
"Because","41.4629793","-81.8472393"
"Baseline Study","34.1208022","-117.3736284"
"Bénéfice","43.309426","1.182443"
"Belén","31.7053821","35.2024425"
"Beaucoup","38.3497721","-89.2920249"
"Baseline First","47.0861713","-119.2420478"
"Baumarten/ha","48.4951981","12.991355"
"BD","23.684994","90.356331"
"Becken","54.5017801","9.0373793"
"Baseline(s","49.151764","-122.761987"
"BD","23.684994","90.356331"
"Behinderung","27.434445","-82.5407819"
"Beere","49.3083825","-123.0726913"
"bolívar","35.2561937","-88.9878389"
"bobo","40.7343963","-74.0025738"
"bobo","40.7343963","-74.0025738"
"bobo","40.7343963","-74.0025738"
"branch","37.689587","-97.335399"
"branch","37.689587","-97.335399"
"bolonia","36.0887959","-5.7745904"
"boma","38.9040538","-77.0340663"
"blantyre","42.335961","-73.258821"
"blantyre","42.335961","-73.258821"
"blantyre","42.335961","-73.258821"
"bethesda","38.984652","-77.0947092"
"boma","38.9040538","-77.0340663"
"branch","37.689587","-97.335399"
"Binder","24.500894","74.1850289"
"boran","34.1019472","-118.3074225"
"blasensteinen","48.3122674","14.7607947"
"Binh","36.1193327","-95.9086111"
"Binh","36.1193327","-95.9086111"
"Binh","36.1193327","-95.9086111"
"Branch","37.689587","-97.335399"
"boys’","39.0345367","-94.537091"
"Bt","40.7560866","-73.9901119"
"Betriebsfläche","53.5433092","10.0552867"
"Brasília E Gestão Sustentável","-27.027446","-48.651239"
"Betreiber","49.135729","9.2195476"
"Budget","38.9415052","-95.2438922"
"Buildings","36.29125","-95.625041"
"Building","37.5292712","-95.6216764"
"Buildings","36.29125","-95.625041"
"BKD","37.09","-94.51"
"BuH.","46.0393498","-94.1242006"
"Budget","38.9415052","-95.2438922"
"BPD","37.1145578","-93.4767745"
"Bpk","2.9545451","99.065497"
"BUMDes","-6.738014","107.438075"
"Bosco","32.2901505","-92.0890239"
"Bürger","35.3989635","-84.4440936"
"BRD","38.9786975","-95.8993887"
"Bürger","35.3989635","-84.4440936"
"Bürger","35.3989635","-84.4440936"
"Bundesrepublik","38.914428","-77.088653"
"Board","38.9103584","-81.9715273"
"Bürgerinitiative","49.8710773","10.0412043"
"BKD","37.09","-94.51"
"Beratung","44.9492578","-93.2607604"
"BGH","43.1525048","-80.276363"
"Bundesstraße 163","32.7970436","-117.1572705"
"Bürger","35.3989635","-84.4440936"
"BTC","36.0001827","-95.8873518"
"Bernd","39.0527379","-95.6998879"
"BKD","37.09","-94.51"
"Budget","38.9415052","-95.2438922"
"Bundesrepublik","38.914428","-77.088653"
"Blockade","38.3495535","-85.6945489"
"Bundesrepublik","38.914428","-77.088653"
"Biogas","36.0796063","-95.8334442"
"Briefing","38.9146954","-94.6578648"
"Biological","30.6157998","-96.3393175"
"Biodiversidad","40.4384376","-3.7032097"
"Berg|Bergen","40.9517197","-74.0886211"
"Brooklyn","40.6781784","-73.9441579"
"Bodensee","47.6363377","9.3892445"
"BFC","41.861065","-88.280319"
"Blumenstein","47.232953","-122.468791"
"Blick","39.0508213","-94.5868238"
"BMZ","36.811818","-76.065993"
"BLE","38.3893348","-93.7774669"
"Bundesrepublik","38.914428","-77.088653"
"eau potable","46.0656732","-71.9734426"
"droits de la personne","45.5022732","-73.5591186"
"dschalal","28.576196","77.318736"
"elevated","44.9278243","-93.2237473"
"Eigenregie","50.368637","12.318431"
"due diligence","37.5113017","-77.6785062"
"Efficiency","40.5811426","-111.6589456"
"Dy","41.6774436","-70.1942316"
"Ex-Post","41.5026779","-74.0371499"
"Druckerei","43.6135962","-79.6823415"
"E2","42.6917559","-73.8288112"
"E3","42.6917478","-73.8292707"
"Ewe","-0.5087241","166.9369384"
"Emergency","33.4456534","-88.7985464"
"Ex-Post","41.5026779","-74.0371499"
"EE","58.595272","25.0136071"
"E3Agro","32.2481849","-110.9641356"
"Efficiency","40.5811426","-111.6589456"
"Ehrich","38.4200382","-96.2201603"
"EE","58.595272","25.0136071"
"EE-Maßnahmen","52.5208","13.41375"
"Empresa","33.5886421","-117.6641292"
"Energieberater","50.8029284","8.7557653"
"Efficiency","40.5811426","-111.6589456"
"Estaba","60.2564646","-151.3512642"
"Energiequelle","52.20949","13.56123"
"Efficiency","40.5811426","-111.6589456"
"EMO","30.2395789","-97.7280066"
"Evans","33.5337464","-82.1306747"
"Ex-Post","41.5026779","-74.0371499"
"EU-PARME","44.801485","10.3279036"
"Eastern Congo","40.6119538","-80.628529"
"El asesoramiento de","40.4229021","-3.6942988"
"E1","14.9386302","120.7906033"
"E2","42.6917559","-73.8288112"
"Environmental","39.1680177","-94.6102979"
"Efficiency","40.5811426","-111.6589456"
"Economies","35.6491919","140.0481253"
"EEEB","-31.755085","-52.383143"
"Efecto","32.4961013","-116.9630922"
"Estamos","-23.90175","29.447103"
"EnRD","38.895277","-77.020479"
"El análisis","26.4031585","-99.0257698"
"Estamos","-23.90175","29.447103"
"Ein/e","42.5976338","-71.2212942"
"Environmental","39.1680177","-94.6102979"
"Enquête","45.325309","-73.264561"
"En @card@","51.5072487","-0.2059444"
"EIE","39.6337006","-79.9561058"
"Eastern-","1.2692186","33.438353"
"EPWs","51.2045928","16.9973871"
"Dynamik","32.7443408","-117.1878587"
"Element","27.9508278","-82.4599683"
"Exekutivkommittees","39.2801488","-80.3376499"
"EL","31.7618778","-106.4850217"
"EU-Programmen","28.564058","77.1736969"
"Ecaterina","40.7896979","-73.9663217"
"Efes","40.4973905","-74.4480461"
"Examples","41.7826096","-88.0518157"
"EDPs","38.9710427","-92.3096311"
"Ecole de la Paix","45.7630328","-73.4474727"
"el Tribunal Constitucional","40.441549","-3.7175282"
"Estos","43.210564","-0.608775"
"EnRD","38.895277","-77.020479"
"Epidemiology","39.0455255","-95.6766783"
"EE","58.595272","25.0136071"
"El Encino","32.4767867","-116.8343423"
"El GNT","16.3081489","80.4333927"
"El Junco","40.4263524","-3.6963631"
"Estos","43.210564","-0.608775"
"east Region and West Asia","34.047863","100.6196553"
"Efficiency","40.5811426","-111.6589456"
"Expand","40.7541477","-73.9818586"
"Educação","40.7171017","-74.0034415"
"Element","27.9508278","-82.4599683"
"Ensino","20.8648113","-103.232043"
"En el diseño de","32.506949","-116.988961"
"EE","58.595272","25.0136071"
"Economic","37.0884403","-94.5146232"
"el PRA","36.4317932","-105.5746857"
"El PRA","36.4317932","-105.5746857"
"El PRA ha","50.0790437","14.4610427"
"el PRA Y","36.4317932","-105.5746857"
"Están","35.246311","64.566978"
"Estos","43.210564","-0.608775"
"EL/SL","13.794185","-88.89653"
"Écart","48.2468775","-79.0169566"
"Duyen","37.3079116","-121.8146679"
"EC","-1.831239","-78.183406"
"Expected","40.0526449","-75.7371479"
"Embankment","40.7291585","-74.0454371"
"ECOWAS","40.7225618","-74.2084402"
"ErEp","45.5471382","-122.4865658"
"EB","39.9693989","-82.9874134"
"Efficiency","40.5811426","-111.6589456"
"Dynamik","32.7443408","-117.1878587"
"dual","36.1936915","-95.9610954"
"Entwicklungskapital","48.0879165","11.479344"
"Efficiency","40.5811426","-111.6589456"
"Efficiency","40.5811426","-111.6589456"
"DSE","35.6188129","-80.8159012"
"east","37.6845131","-97.3090028"
"ejR","41.8550681","-87.8644272"
"Emploi","46.8140817","-71.2218403"
"Entreprenariat","45.5946616","-73.5558205"
"Elfenbein","40.6663624","-73.486408"
"El Niňo","36.2534304","-115.164759"
"E-Learning","35.6570861","-97.4613285"
"Evaluateurs","45.5024981","-73.5611958"
"E.mail","36.157913","-86.767358"
"calverton","40.9064873","-72.7434331"
"canal tagarete","25.0469341","-105.4317759"
"cdad","42.3649283","-83.072966"
"calverton","40.9064873","-72.7434331"
"calverton","40.9064873","-72.7434331"
"c+","39.692037","-104.9416688"
"caprivi","39.7635987","-105.6266679"
"caprivi","39.7635987","-105.6266679"
"caprivi","39.7635987","-105.6266679"
"caprivi","39.7635987","-105.6266679"
"calverton","40.9064873","-72.7434331"
"casamance","53.58301","9.98087"
"canton","40.7989473","-81.378447"
"canton","40.7989473","-81.378447"
"Central and Southern Region","29.948711","-90.06791"
"C.","39.692037","-104.9416688"
"CACE-T","41.7560026","-111.7614661"
"C.","39.692037","-104.9416688"
"Capitol Hill","38.8860434","-76.999525"
"Capacity Development","43.5971859","-79.6360315"
"Büros/Consultingfirmen","40.6639636","-75.295526"
"c’est-à-dire","45.4510456","-73.4527381"
"Cadenas","33.5749932","-117.6585955"
"Capacity Development","43.5971859","-79.6360315"
"Central","36.635524","-93.280829"
"Cao","35.4958579","-97.5309554"
"But if","45.8134044","-77.1176943"
"Campingbereich","46.8130355","-71.0523819"
"Canning","44.3963716","-100.0320677"
"Capacity Development","43.5971859","-79.6360315"
"Cashew","29.9348471","-98.3421061"
"CAM","25.86069","115.011561"
"Burundi du 21","19.6696172","-101.196819"
"Ca","36.778261","-119.4179324"
"Calverton","40.9064873","-72.7434331"
"Capacity WORKS’","41.862512","-73.550865"
"Businessplan","36.1954468","-115.2501692"
"Cacao","45.5225534","-122.683958"
"C.1","38.9378283","-94.5259417"
"C1","42.6905674","-73.8354048"
"BW","41.3711165","-81.8478088"
"Carter Center","33.767589","-84.356828"
"Capacidades","29.096288","-110.9710094"
"Cashew","29.9348471","-98.3421061"
"Capacity Development","43.5971859","-79.6360315"
"CDAs","39.6837151","-75.7428322"
"Capacity Development","43.5971859","-79.6360315"
"Capacity Development","43.5971859","-79.6360315"
"Cassava","37.7756347","-122.4966295"
"Central","36.635524","-93.280829"
"C","39.692037","-104.9416688"
"Buschsavanne","32.0372198","-81.3024278"
"Ca","36.778261","-119.4179324"
"Cashew","29.9348471","-98.3421061"
"Ca","36.778261","-119.4179324"
"Cashew","29.9348471","-98.3421061"
"Ca","36.778261","-119.4179324"
"Ca","36.778261","-119.4179324"
"córdobas","38.8228282","-94.5346224"
"como","38.9517053","-92.3340724"
"centro de","37.2838959","-106.1475286"
"centro de acopio Y","32.521008","-117.065181"
"ciência E tecnologia","28.6308882","-106.0810132"
"comité de pilotage","47.1055","6.1470205"
"consul","38.892907","-94.6118286"
"comité de gestion de l'ecole","45.5458187","-73.6372884"
"county","36.7496804","-95.9774099"
"chi­","41.321392","-96.0211039"
"Crystal","43.6700662","-71.7883271"
"county","36.7496804","-95.9774099"
"commissariat au Plan","45.4960448","-73.6516439"
"córdobas","38.8228282","-94.5346224"
"comité de gestion","45.5458187","-73.6372884"
"Checkpoint","32.8957294","-96.986057"
"corral quemado","-33.35","-70.3667"
"chavin","46.56152","1.608619"
"chapter","35.4366","-94.351846"
"château d'eau","48.7100187","2.7555421"
"crédit mutuel","45.474278","-73.60937"
"centres de santé","47.2244098","-74.392313"
"comité de santé","45.499351","-73.574084"
"cologne","44.7688889","-93.7805556"
"Claridges","39.3573483","-74.4315435"
"Claridges Hotel","39.3573483","-74.4315435"
"Class","37.681976","-95.484404"
"CoEs","41.9884283","-91.6591287"
"Centre FORMA","26.059768","-98.3435724"
"Comercialização","-23.6146108","-46.7754273"
"Colorado","39.5500507","-105.7820674"
"Changar Area","28.577318","-81.2925367"
"Concurso","41.816345","-2.78881"
"CFMP","39.053727","-94.413843"
"Control","36.194533","-95.759019"
"Conflict and Peace Building","38.9087578","-77.0422539"
"Cuál","34.392458","132.465647"
"Confirmation","36.0308374","-86.7865178"
"Cluster","39.3234085","-81.325672"
"Continu","37.7791365","-122.3960167"
"Certif","42.029499","-87.945131"
"Counterpartpersonal","40.820357","-74.781339"
"Centres de Formation en Fe","45.4112946","-71.8864632"
"Cet","31.69622","-106.323139"
"Conventions Locales","-27.7991047","28.4249529"
"Companies","39.1294061","-93.2081074"
"Confirmation","36.0308374","-86.7865178"
"Consultingfirma GOPA","34.0478287","-118.2548754"
"CO2-emissions","13.0524616","80.2447214"
"Crater","37.21611","-117.68639"
"CRD","48.4291202","-123.3659381"
"Companies","39.1294061","-93.2081074"
"Cluster","39.3234085","-81.325672"
"Council","30.6141085","-82.5109607"
"CTGC","41.8818164","-87.6246747"
"Cormac","39.207883","-76.858249"
"Communal","40.2352617","-111.6582226"
"Coran","35.1865835","-92.3932095"
"Confirmation","36.0308374","-86.7865178"
"Conservation International","38.8556199","-77.048901"
"CNCA","36.663194","-121.649263"
"Communal","40.2352617","-111.6582226"
"CRD","48.4291202","-123.3659381"
"Compo","41.1114857","-73.3551173"
"Cooperatives","37.208559","-95.402913"
"Centre Kamza","3.103662","101.599435"
"Coi","37.7980647","-122.4034273"
"Changes of mind-set","42.5354328","-71.7295206"
"CoCs","34.4042459","-118.5682302"
"Crop Forecast","38.9535791","-94.6847503"
"Components","37.64876","-97.382896"
"Central Statistical Office","38.5851793","-121.4945205"
"CNCA","36.663194","-121.649263"
"Components","37.64876","-97.382896"
"Circular","-22.7810717","-43.3071293"
"Circular @card@","40.7153707","-73.9870339"
"Council","30.6141085","-82.5109607"
"Children","37.0900596","-94.474135"
"Cologne","44.7688889","-93.7805556"
"Centre Water","34.1516294","-85.6795644"
"CMF","38.3284434","-121.9777246"
"Cl","-35.675147","-71.542969"
"coordination/","36.1485613","-95.999863"
"Champs","37.0907019","-94.4742465"
"Criterion","35.466203","-97.5037567"
"Circuit","36.9161609","-93.9165371"
"Chapters","43.8495711","-79.3519468"
"Contact","36.0929822","-95.9044186"
"Checklist","29.312988","-81.097313"
"CIAT-","32.7708491","-117.1338412"
"City Agriculture Office   City","38.5815627","-92.197105"
"Costs","35.1837552","-97.4371134"
"Comments","33.9444697","-84.3770309"
"Criterion","35.466203","-97.5037567"
"Cité","52.0515032","113.4711906"
"Circular","-22.7810717","-43.3071293"
"CRD","48.4291202","-123.3659381"
"Centrale","30.436364","-84.296885"
"CoSMIC","36.4357679","-93.4973017"
"Completion","38.8126215","-97.6162186"
"cyrano","38.5912744","-90.3412638"
"Czech airlines","40.7625581","-73.9777917"
"D.","37.7093735","-89.2199264"
"D.","37.7093735","-89.2199264"
"D.","37.7093735","-89.2199264"
"D 3","40.8197191","-74.1187521"
"Customer","33.7513931","-84.3913883"
"DAC","34.9645008","-89.9342324"
"D&D","37.7093735","-89.2199264"
"D- IZ","34.9765857","138.946704"
"d’intervention 3","38.2714226","-104.6173791"
"d’environ","39.5829772","-105.0734889"
"Darstellung","48.8228961","10.6919956"
"D22","42.4941511","-94.2533723"
"Daniel","29.4120295","-98.4991106"
"D1","36.0246661","-96.0090047"
"DAC-","34.9645008","-89.9342324"
"district","39.097289","-94.582091"
"departamento","21.8699448","-102.291711"
"departamental","-33.5116556","-70.6644574"
"district","39.097289","-94.582091"
"district","39.097289","-94.582091"
"district","39.097289","-94.582091"
"district","39.097289","-94.582091"
"district","39.097289","-94.582091"
"district","39.097289","-94.582091"
"DDR","39.0565325","-76.9680871"
"district","39.097289","-94.582091"
"district","39.097289","-94.582091"
"district","39.097289","-94.582091"
"dof","29.841289","-95.5654871"
"district","39.097289","-94.582091"
"district","39.097289","-94.582091"
"eximbank","29.751904","-95.373606"
"district","39.097289","-94.582091"
"district","39.097289","-94.582091"
"digmoj","-6.2446706","106.6941855"
"district","39.097289","-94.582091"
"district","39.097289","-94.582091"
"Demand","38.9608346","-94.720808"
"Délégation","34.0580431","-118.4450106"
"Departement","39.0493893","-95.6686108"
"DRH/MI","42.4909766","-83.2950942"
"Dotse","15.1896057","145.7164208"
"Fachcurricula","41.6555462","-83.5347955"
"Departement","39.0493893","-95.6686108"
"DCDC","37.7867568","-87.0708893"
"Detox-Centre","44.2313642","-76.4882784"
"Dienstleistungszentrum","46.1000011","7.7819051"
"Departamento Nacional","25.8800304","-97.5107735"
"Dorit","40.7618859","-73.9657399"
"Departement","39.0493893","-95.6686108"
"Factories","39.0881226","-84.4907836"
"Development Project","42.330005","-83.0471148"
"Experiences","39.0983425","-94.5803469"
"De","51.165691","10.451526"
"Dien","32.7709809","-96.8796463"
"Dom","44.801305","1.217048"
"Development Framework","39.0527033","-77.4543668"
"Distrikt","40.7566611","-73.9928494"
"Debriefing-Workshops","42.375624","-71.053558"
"Departement","39.0493893","-95.6686108"
"Denpasar","-8.6704582","115.2126293"
"Dom","44.801305","1.217048"
"Dialog","7.2974009","80.6375042"
"Development Capacity Building Office","35.9902072","-78.8902842"
"Dialog","7.2974009","80.6375042"
"Fachpublikation","18.9459823","72.8276611"
"Development Committees","38.8943355","-77.075309"
"Defensoría del Pueblo","32.5129928","-116.87726"
"Department","37.5313737","-95.8343009"
"Development Framework","39.0527033","-77.4543668"
"Development Framework","39.0527033","-77.4543668"
"Donor","36.3339689","-94.1920942"
"District Council","40.7294668","-74.0077887"
"direkt","13.7355939","100.5229482"
"deutsch Botschaft","38.914428","-77.088653"
"Deponie","35.9053056","-78.5812183"
"Dom Design","40.722387","-73.998367"
"Demands","38.9608346","-94.720808"
"DoY","41.13424","-80.667818"
"EXPO","47.6233983","-122.3547298"
"deutsch Botschaft","38.914428","-77.088653"
"Direktorat","-6.872731","107.573956"
"Export","40.4181235","-79.6255989"
"Eaux du Bénin","6.3528898","2.4178183"
"DGCT","11.7968235","78.056211"
"Données","45.5377482","-73.551312"
"Departement","39.0493893","-95.6686108"
"Extrême-Nord","10.6315589","14.6587821"
"Dekret","39.9252981","-75.2673365"
"Development Framework","39.0527033","-77.4543668"
"Date","34.3153014","-112.9182404"
"Delivery","29.5596493","-98.4289799"
"Descentralización","-34.6528756","-58.6219827"
"España","40.463667","-3.74922"
"Delivery","29.5596493","-98.4289799"
"Dokument","34.0469927","-118.5270039"
"Dom","44.801305","1.217048"
"Domin","43.445827","-0.378581"
"Dinamarca","56.26392","9.501785"
"España","40.463667","-3.74922"
"Decrees","34.5752515","-80.5971676"
"de Bortoli","40.7387223","-74.0384413"
"Fachwissen","53.0955306","8.8048219"
"Diálogo","50.8062145","6.4838738"
"Dom","44.801305","1.217048"
"Date","34.3153014","-112.9182404"
"ey @card@","40.8030875","-74.0984987"
"Execução","-23.3948788","-46.3210806"
"Dayton/Paris","39.6887376","-84.2419531"
"District Councils","40.7294668","-74.0077887"
"Dom","44.801305","1.217048"
"DGCT","11.7968235","78.056211"
"Dom","44.801305","1.217048"
"deutsch Professional","38.5656812","-92.2019569"
"Driver","39.3381606","-76.8941432"
"Donor","36.3339689","-94.1920942"
"Development Councils","37.3656039","-81.1023563"
"District Coordination Councils","42.863729","-78.823418"
"Dom","44.801305","1.217048"
"Der/","23.8627442","72.2778291"
"Developing","43.0545593","-89.3243684"
"Departement","39.0493893","-95.6686108"
"District Health Office Livingstone","40.7860038","-74.336811"
"Development Cooperation","38.2502415","-85.8158062"
"Department","37.5313737","-95.8343009"
"Development Cooperation “","38.2502415","-85.8158062"
"Dr","35.6522551","-97.4786184"
"deutsch Botschaft","38.914428","-77.088653"
"Design","37.7955431","-122.4006883"
"Donor","36.3339689","-94.1920942"
"Datenmanagements","51.520762","6.922227"
"Decision","39.0730409","-94.5855851"
"Development Office","37.434909","-79.1719823"
"Development Partnership","29.309097","-94.787933"
"Development of","64.8483102","-147.8222132"
"F&E","38.29491","-78.3337049"
"Développement à la Base","45.4812849","-73.56105"
"Development of a Gender Equality","-20.1603472","57.5074679"
"F","38.29491","-78.3337049"
"de transferencia Y el @card@","32.4840054","-116.9768586"
"g0","37.6716934","-95.6514143"
"furthermore","38.4424478","-122.8604191"
"Fichtner","39.096444","-76.696375"
"foods","37.5299907","-95.8114718"
"Fonds","50.717545","1.873743"
"febrero","21.0167305","-101.8459145"
"federal","37.3114968","-82.3609799"
"Gare routière","45.5169031","-73.564181"
"gorom","50.4741649","20.4009945"
"gorom","50.4741649","20.4009945"
"fondo de garantia","30.4133935","-107.9109517"
"Flughafenstraße","53.6353216","10.008891"
"french and German","38.484966","-121.3902903"
"foula","60.1312669","-2.0695406"
"glra","40.3700377","-76.4898373"
"farms","37.5157677","-95.8335764"
"fz","47.0932683","-122.3292778"
"fz","47.0932683","-122.3292778"
"G4","32.952555","-117.2320844"
"G6","39.4270478","106.8654248"
"G7","40.6794378","109.9825225"
"G9","34.2488719","-118.5238911"
"Geburt","34.5350904","135.6078843"
"Good","34.063464","-118.368213"
"Gehalt","26.4019195","-99.0278589"
"Ghartey","40.8422653","-73.9446171"
"Good","34.063464","-118.368213"
"gesamt","50.121225","8.650677"
"Flüssiggas","49.51766","8.4576636"
"Finanzminister","35.6726475","139.7491516"
"Friday","48.535711","-123.0168217"
"Gander","48.954408","-54.6103488"
"FUNTER","58.2563889","-134.8958333"
"Federalism","41.0337373","-73.6243224"
"German house","39.9952286","-83.0111205"
"Forstinventur","41.412509","-81.707359"
"Gemeindeverbands","51.64301","8.66525"
"G8","49.2104123","-123.13046"
"Good","34.063464","-118.368213"
"food","36.082231","-94.154358"
"food","36.082231","-94.154358"
"GE","42.315407","43.356892"
"Fanni","53.5177372","49.2679736"
"GFZ","52.382884","13.06319"
"Föderation","38.924561","-77.0751569"
"Gegner","41.65889","-93.74053"
"Finanzminister","35.6726475","139.7491516"
"Friday","48.535711","-123.0168217"
"Frantz","40.9137642","-75.3963707"
"FUNDE","18.8912686","72.9630347"
"Familienbetrieb","49.485346","8.466174"
"Gemeinde Sta","50.28106","6.11745"
"Gobierno","32.641223","-115.475631"
"Good","34.063464","-118.368213"
"Financiera","29.0937005","-110.9581965"
"Gaza Middle Area","41.3484399","-82.107178"
"Ges","33.431471","-112.146957"
"Geburt","34.5350904","135.6078843"
"Figures","47.2414049","-122.5251227"
"Funding","28.6320606","-81.3951576"
"Good","34.063464","-118.368213"
"FIERE","45.0303004","7.6664573"
"Good","34.063464","-118.368213"
"Follow-up","34.4212026","-119.6984552"
"Good","34.063464","-118.368213"
"Good","34.063464","-118.368213"
"Generalplan","40.8022722","-124.1601041"
"Good","34.063464","-118.368213"
"Général","8.152186","4.2537015"
"Good","34.063464","-118.368213"
"Follow-up","34.4212026","-119.6984552"
"Frieden","43.527351","-89.976651"
"Fiji","-17.713371","178.065032"
"Feasibilitystudien","36.0711247","-94.1572601"
"FP","41.929636","-88.034709"
"Good","34.063464","-118.368213"
"Friday","48.535711","-123.0168217"
"Goods","36.0925094","-95.8873643"
"Gewaltprävention","49.9361772","11.5271888"
"Golf View Hotel","-33.8616995","150.9938994"
"Golf View Hotel                                         Place","40.001167","-83.115573"
"Follow-up","34.4212026","-119.6984552"
"G20","37.7700144","113.568403"
"Follow-up","34.4212026","-119.6984552"
"Formandos","-22.90546","-43.1772514"
"GIRH","29.0615889","78.6272031"
"G20","37.7700144","113.568403"
"GIRESOL","-16.4099197","-71.567879"
"Föderation","38.924561","-77.0751569"
"Generalsekretariat","48.1954122","16.366879"
